,Manufacturer,Model,Trans,Eng Size,Cyl,MPG Comb,MPG City,MPG Hwy,Annual Fuel Cost,GHG Rating,Notes,Year
81,MINI,Cooper Convertible,AM-S7,1.5L,3cyl,32,29,38,"$1,900",6,"['P', 'T', 'SS']",2023
82,MINI,Cooper Convertible,M-6,1.5L,3cyl,31,27,37,"$1,950",6,"['P', 'T', 'SS']",2023
83,MINI,Cooper S Convertible,AM-S7,2.0L,4cyl,30,27,36,"$2,050",6,"['P', 'T']",2023
84,MINI,Cooper S Convertible,M-6,2.0L,4cyl,27,23,33,"$2,250",5,"['P', 'T']",2023
85,MINI,John Cooper Works Convertible,A-S8,2.0L,4cyl,27,24,33,"$2,250",5,"['P', 'T', 'SS']",2023
86,PORSCHE,911 Carrera,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']",2023
87,PORSCHE,911 Carrera 4,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']",2023
88,PORSCHE,911 Carrera 4 Cabriolet,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']",2023
89,PORSCHE,911 Carrera 4 GTS,AM-S8,3.0L,6cyl,19,17,23,"$3,200",4,"['PR', 'T', 'SS']",2023
90,PORSCHE,911 Carrera 4 GTS,M-7,3.0L,6cyl,19,17,23,"$3,200",4,"['PR', 'T', 'SS']",2023
91,PORSCHE,911 Carrera 4 GTS Cabriolet,AM-S8,3.0L,6cyl,19,17,22,"$3,200",4,"['PR', 'T', 'SS']",2023
92,PORSCHE,911 Carrera 4 GTS Cabriolet,M-7,3.0L,6cyl,19,16,23,"$3,200",4,"['PR', 'T', 'SS']",2023
93,PORSCHE,911 Carrera 4S,AM-S8,3.0L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']",2023
94,PORSCHE,911 Carrera 4S,M-7,3.0L,6cyl,20,17,25,"$3,050",4,"['PR', 'T', 'SS']",2023
95,PORSCHE,911 Carrera 4S Cabriolet,AM-S8,3.0L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']",2023
96,PORSCHE,911 Carrera 4S Cabriolet,M-7,3.0L,6cyl,20,17,24,"$3,050",4,"['PR', 'T', 'SS']",2023
97,PORSCHE,911 Carrera Cabriolet,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']",2023
98,PORSCHE,911 Carrera GTS,AM-S8,3.0L,6cyl,19,17,23,"$3,200",4,"['PR', 'T', 'SS']",2023
99,PORSCHE,911 Carrera GTS,M-7,3.0L,6cyl,20,17,24,"$3,050",4,"['PR', 'T', 'SS']",2023
100,PORSCHE,911 Carrera GTS Cabriolet,AM-S8,3.0L,6cyl,19,17,23,"$3,200",4,"['PR', 'T', 'SS']",2023
101,PORSCHE,911 Carrera GTS Cabriolet,M-7,3.0L,6cyl,20,17,24,"$3,050",4,"['PR', 'T', 'SS']",2023
