,Car Type,Manufacturer,Model,Trans,Eng Size,Cyl,MPG Comb,MPG City,MPG Hwy,Annual Fuel Cost,GHG Rating,Notes
388,LARGE CARS,HYUNDAI,Sonata AWD,A-S8,2.5L,4cyl,28,25,34,"$1,700",6,[]
389,LARGE CARS,HYUNDAI,Sonata FWD,A-S8,2.5L,4cyl,29,25,36,"$1,650",6,[]
390,LARGE CARS,HYUNDAI,Sonata FWD,AM-S8,2.5L,4cyl,27,23,32,"$1,750",5,['T']
391,LARGE CARS,HYUNDAI,Sonata Hybrid,AM-S6,2.0L,4cyl,47,44,51,"$1,000",8,"['HEV', 'SS']"
392,LARGE CARS,KIA,K5,A-S8,1.6L,4cyl,31,27,37,"$1,550",6,['T']
393,LARGE CARS,KIA,K5,AM-S8,2.5L,4cyl,27,24,32,"$1,750",5,['T']
394,LARGE CARS,KIA,K5 AWD,A-S8,1.6L,4cyl,28,25,33,"$1,700",6,['T']
395,LARGE CARS,MASERATI,Quattroporte GT,A-8,3.0L,6cyl,19,16,25,"$3,200",4,"['PR', 'T', 'SS']"
396,LARGE CARS,MASERATI,Quattroporte Modena AWD,A-8,3.0L,6cyl,20,17,25,"$3,050",4,"['PR', 'T', 'SS']"
397,LARGE CARS,MASERATI,Quattroporte Modena RWD,A-8,3.0L,6cyl,19,16,25,"$3,200",4,"['PR', 'T', 'SS']"
398,LARGE CARS,MASERATI,Quattroporte Trofeo,A-8,3.8L,8cyl,16,13,20,"$3,800",3,"['PR', 'T', 'Tax', 'SS']"
399,LARGE CARS,MERCEDES-BENZ,Maybach S680 4matic,A-9,6.0L,12cyl,15,12,20,"$4,100",2,"['PR', 'T', 'Tax', 'SS']"
400,LARGE CARS,MERCEDES-BENZ,S500 4matic,A-9,3.0L,6cyl,24,21,31,"$2,550",5,"['PR', 'MHEV', 'SS']"
401,LARGE CARS,MERCEDES-BENZ,S580 4matic,A-9,4.0L,8cyl,21,18,27,"$2,900",4,"['PR', 'T', 'MHEV', 'SS']"
402,LARGE CARS,MERCEDES-BENZ,S580 4matic Maybach,A-9,4.0L,8cyl,21,18,26,"$2,900",4,"['PR', 'T', 'MHEV', 'SS']"
403,LARGE CARS,PORSCHE,Panamera,AM-S8,2.9L,6cyl,21,18,25,"$2,900",4,"['PR', 'T', 'SS']"
404,LARGE CARS,PORSCHE,Panamera 4,AM-S8,2.9L,6cyl,21,18,25,"$2,900",4,"['PR', 'T', 'SS']"
405,LARGE CARS,ROLLS-ROYCE,Ghost,A-S8,6.7L,12cyl,14,12,19,"$4,350",2,"['P', 'T', 'Tax']"
406,LARGE CARS,ROLLS-ROYCE,Ghost Black Badge,A-S8,6.7L,12cyl,14,12,19,"$4,350",2,"['P', 'T', 'Tax']"
407,LARGE CARS,ROLLS-ROYCE,Ghost Extended,A-S8,6.7L,12cyl,14,12,19,"$4,350",2,"['P', 'T', 'Tax']"
408,LARGE CARS,ROLLS-ROYCE,Phantom,A-S8,6.7L,12cyl,14,12,18,"$4,350",2,"['P', 'T', 'Tax']"
409,LARGE CARS,ROLLS-ROYCE,Phantom Extended,A-S8,6.7L,12cyl,14,12,18,"$4,350",2,"['P', 'T', 'Tax']"
410,LARGE CARS,VOLKSWAGEN,Arteon 4motion,AM-S7,2.0L,4cyl,25,22,30,"$2,450",5,"['P', 'T', 'SS']"
411,SMALL STATION WAGONS,AUDI,A4 allroad quattro,AM-S7,2.0L,4cyl,26,23,30,"$2,350",5,"['P', 'T', 'MHEV', 'SS']"
412,SMALL STATION WAGONS,BUICK,Envista,A-6,1.2L,3cyl,30,28,32,"$1,600",6,"['T', 'SS']"
413,SMALL STATION WAGONS,CHEVROLET,Trax,A-6,1.2L,3cyl,30,28,32,"$1,600",6,"['T', 'SS']"
414,SMALL STATION WAGONS,HONDA,HR-V AWD,AV,2.0L,4cyl,27,25,30,"$1,750",5,[]
415,SMALL STATION WAGONS,HONDA,HR-V FWD,AV,2.0L,4cyl,28,26,32,"$1,700",6,[]
416,SMALL STATION WAGONS,KIA,Soul,AV,2.0L,4cyl,30,27,33,"$1,600",6,['SS']
417,SMALL STATION WAGONS,KIA,Soul Eco dynamics,AV,2.0L,4cyl,31,29,35,"$1,550",6,['SS']
418,SMALL STATION WAGONS,LAMBORGHINI,Urus Performante,A-S8,4.0L,8cyl,16,14,19,"$3,800",3,"['P', 'T', 'Tax', 'CD', 'SS']"
419,SMALL STATION WAGONS,MERCEDES-BENZ,AMG GLA35 4matic,AM-8,2.0L,4cyl,24,22,28,"$2,550",5,"['PR', 'T', 'MHEV', 'SS']"
420,SMALL STATION WAGONS,SUBARU,Impreza,AV-S8,2.0L,4cyl,30,27,34,"$1,600",6,['SS']
421,SMALL STATION WAGONS,SUBARU,Impreza,AV-S8,2.5L,4cyl,29,26,33,"$1,650",6,['SS']
422,SMALL STATION WAGONS,VOLVO,V60CC B5 AWD,A-S8,2.0L,4cyl,27,24,31,"$2,250",5,"['PR', 'T', 'MHEV', 'SS']"
423,MIDSIZE STATION WAGONS,AUDI,A6 Allroad quattro,AM-S7,3.0L,6cyl,25,22,30,"$2,450",5,"['P', 'T', 'MHEV', 'SS']"
424,MIDSIZE STATION WAGONS,AUDI,RS 6 Avant,A-S8,4.0L,8cyl,17,14,22,"$3,600",3,"['P', 'T', 'Tax', 'CD', 'MHEV']"
425,SS,MERCEDES-BENZ,AMG GLB35 4matic,AM-8,2.0L,4cyl,23,21,26,"$2,650",5,"['PR', 'T', 'MHEV', 'SS']"
426,SS,MERCEDES-BENZ,E450 4matic All-Terrain (wagon),A-9,3.0L,6cyl,25,22,31,"$2,450",5,"['PR', 'MHEV', 'SS']"
427,SS,NISSAN,Murano AWD,AV-S7,3.5L,6cyl,23,20,28,"$2,050",5,[]
428,SS,NISSAN,Murano FWD,AV-S7,3.5L,6cyl,23,20,28,"$2,050",5,[]
429,SS,ROLLS-ROYCE,Cullinan,A-S8,6.7L,12cyl,14,12,19,"$4,350",2,"['P', 'T', 'Tax']"
430,SS,ROLLS-ROYCE,Cullinan Black Badge,A-S8,6.7L,12cyl,14,12,19,"$4,350",2,"['P', 'T', 'Tax']"
431,SS,VOLVO,V90CC B6 AWD,A-S8,2.0L,4cyl,25,22,29,"$2,450",5,"['PR', 'MHEV', 'SS']"
432,SMALL PICKUP TRUCKS 2WD,CHEVROLET,Colorado 2WD,A-8,2.7L,4cyl,22,20,24,"$2,150",5,"['T', 'CD', 'Late', 'Mod', 'Yr']"
433,SMALL PICKUP TRUCKS 2WD,CHEVROLET,SS,A-8,2.7L,4cyl,21,19,24,"$2,250",4,"['T', 'CD', 'SS']"
434,SMALL PICKUP TRUCKS 2WD,FORD,Maverick FWD,A-8,2.0L,4cyl,26,23,30,"$1,850",5,"['T', 'SS']"
435,SMALL PICKUP TRUCKS 2WD,FORD,Maverick HEV FWD,AV,2.5L,4cyl,37,42,33,"$1,300",7,"['HEV', 'SS']"
436,SMALL PICKUP TRUCKS 2WD,GMC,Canyon 2WD,A-8,2.7L,4cyl,20,19,23,"$2,400",4,"['T', 'CD', 'SS']"
437,SMALL PICKUP TRUCKS 2WD,TOYOTA,Tacoma 2WD,A-S8,2.4L,4cyl,23,20,26,"$2,050",5,['T']
438,SMALL PICKUP TRUCKS 2WD,TOYOTA,Tacoma SR5/Sport/PreRunner 2WD,A-S8,2.4L,4cyl,23,21,26,"$2,050",5,"['T', 'SS']"
439,SMALL PICKUP TRUCKS 2WD,TOYOTA,Tacoma SR5/Sport/PreRunner 2WD,A-S8,2.4L,4cyl,22,20,24,"$2,150",5,"['T', '3-Mode', 'SS']"
440,SMALL PICKUP TRUCKS 4WD,CHEVROLET,Colorado 4WD,A-8,2.7L,4cyl,20,18,23,"$2,400",4,"['T', 'CD', 'SS']"
441,SMALL PICKUP TRUCKS 4WD,CHEVROLET,Colorado 4WD,A-8,2.7L,4cyl,20,18,22,"$2,400",4,"['T', 'CD', 'Late', 'Mod', 'Yr']"
442,SMALL PICKUP TRUCKS 4WD,SS,Colorado Mud Terrain Tires 4WD,A-8,2.7L,4cyl,18,17,20,"$2,650",4,"['T', 'CD', 'SS']"
443,SMALL PICKUP TRUCKS 4WD,SS,Colorado ZR2 4WD,A-8,2.7L,4cyl,17,17,17,"$2,800",3,"['T', 'CD', 'SS']"
444,SMALL PICKUP TRUCKS 4WD,SS,Colorado ZR2 Bison 4WD,A-8,2.7L,4cyl,16,16,16,"$2,950",3,"['T', 'CD', 'SS']"
445,SMALL PICKUP TRUCKS 4WD,FORD,Maverick AWD,A-8,2.0L,4cyl,25,22,29,"$1,900",5,"['T', 'SS']"
446,SMALL PICKUP TRUCKS 4WD,FORD,Maverick Tremor AWD,A-8,2.0L,4cyl,21,20,24,"$2,250",4,"['T', 'SS']"
447,SMALL PICKUP TRUCKS 4WD,GMC,Canyon 4WD,A-8,2.7L,4cyl,19,18,22,"$2,500",4,"['T', 'CD', 'SS']"
448,SMALL PICKUP TRUCKS 4WD,GMC,Canyon AT4X 4WD,A-8,2.7L,4cyl,17,17,17,"$2,800",3,"['T', 'CD', 'SS']"
449,SMALL PICKUP TRUCKS 4WD,GMC,Canyon AT4X AEV 4WD,A-8,2.7L,4cyl,16,16,16,"$2,950",3,"['T', 'CD', 'SS']"
450,SMALL PICKUP TRUCKS 4WD,GMC,Canyon Mud Terrain Tires 4WD,A-8,2.7L,4cyl,18,17,20,"$2,650",4,"['T', 'CD', 'SS']"
451,SMALL PICKUP TRUCKS 4WD,TOYOTA,Tacoma 4WD,A-S8,2.4L,4cyl,21,19,24,"$2,250",4,"['T', 'PT4']"
452,SMALL PICKUP TRUCKS 4WD,TOYOTA,Tacoma 4WD MT,M-6,2.4L,4cyl,20,18,23,"$2,400",4,"['T', 'PT4']"
453,SMALL PICKUP TRUCKS 4WD,TOYOTA,Tacoma SR5/Sport/Off-Road/Limited 4WD,A-S8,2.4L,4cyl,21,19,24,"$2,250",4,"['T', 'PT4']"
454,SMALL PICKUP TRUCKS 4WD,TOYOTA,Tacoma SR5/Sport/Off-Road/Limited 4WD,A-S8,2.4L,4cyl,21,20,23,"$2,250",4,"['T', 'PT4', '3-Mode', 'SS']"
455,SMALL PICKUP TRUCKS 4WD,TOYOTA,Tacoma SR5/Sport/Off-Road/Limited 4WD,A-S8,2.4L,4cyl,21,19,23,"$2,250",4,"['T', 'PT4', '3-Mode']"
456,STANDARD PICKUP TRUCKS 2WD,CHEVROLET,Silverado 2WD,A-8,2.7L,4cyl,20,18,22,"$2,400",4,"['T', 'CD', 'SS']"
457,STANDARD PICKUP TRUCKS 2WD,CHEVROLET,Silverado 2WD,A-8,2.7L,4cyl,19,17,21,"$2,500",4,"['T', 'CD', 'S-Mode', 'SS']"
458,STANDARD PICKUP TRUCKS 2WD,CHEVROLET,Silverado 2WD,A-10,3.0L,6cyl,26,23,29,"$2,100",5,"['D', 'T', 'SS']"
459,STANDARD PICKUP TRUCKS 2WD,CHEVROLET,Silverado 2WD,A-10,5.3L,8cyl,18,16,22,"$2,650",4,"['CD', 'SS']"
460,STANDARD PICKUP TRUCKS 2WD,CHEVROLET,Silverado 2WD,A-10,5.3L,8cyl,18,16,21,"$2,650",4,"['CD', 'S-Mode', 'SS']"
461,STANDARD PICKUP TRUCKS 2WD,CHEVROLET,Silverado 2WD,A-10,5.3L,8cyl,18,16,20,"$2,650",4,"['Gas', 'CD']"
462,STANDARD PICKUP TRUCKS 2WD,CHEVROLET,Silverado 2WD,A-10,5.3L,8cyl,16,15,19,"$2,950",3,['CD']
463,STANDARD PICKUP TRUCKS 2WD,FORD,F150 Pickup 2WD,A-S10,2.7L,6cyl,21,19,25,"$2,250",4,"['T', 'SS']"
464,STANDARD PICKUP TRUCKS 2WD,FORD,F150 Pickup 2WD,A-S10,3.5L,6cyl,20,17,25,"$2,400",4,"['T', 'SS']"
465,STANDARD PICKUP TRUCKS 2WD,FORD,F150 Pickup 2WD,A-S10,5.0L,8cyl,19,16,24,"$2,500",4,"['CD', 'SS']"
466,STANDARD PICKUP TRUCKS 2WD,FORD,Ranger 2WD,A-S10,2.3L,4cyl,22,21,25,"$2,150",5,"['T', 'SS']"
467,STANDARD PICKUP TRUCKS 2WD,GMC,Sierra 2WD,A-8,2.7L,4cyl,20,18,22,"$2,400",4,"['T', 'CD', 'SS']"
468,STANDARD PICKUP TRUCKS 2WD,GMC,Sierra 2WD,A-8,2.7L,4cyl,19,17,21,"$2,500",4,"['T', 'CD', 'S-Mode', 'SS']"
469,STANDARD PICKUP TRUCKS 2WD,GMC,Sierra 2WD,A-10,3.0L,6cyl,25,23,29,"$2,200",5,"['D', 'T', 'SS']"
470,STANDARD PICKUP TRUCKS 2WD,GMC,Sierra 2WD,A-10,5.3L,8cyl,18,16,21,"$2,650",4,"['CD', 'SS']"
471,STANDARD PICKUP TRUCKS 2WD,GMC,Sierra 2WD,A-10,5.3L,8cyl,18,16,20,"$2,650",4,"['CD', 'S-Mode', 'SS']"
472,STANDARD PICKUP TRUCKS 2WD,GMC,Sierra 2WD,A-10,5.3L,8cyl,18,16,20,"$2,650",4,"['Gas', 'CD']"
473,STANDARD PICKUP TRUCKS 2WD,GMC,Sierra 2WD,A-10,5.3L,8cyl,16,15,19,"$2,950",3,['CD']
474,STANDARD PICKUP TRUCKS 2WD,NISSAN,Frontier 2WD,A-S9,3.8L,6cyl,21,18,24,"$2,250",4,['SS']
475,STANDARD PICKUP TRUCKS 2WD,NISSAN,Titan 2WD,A-S9,5.6L,8cyl,17,15,21,"$3,600",3,['P']
476,STANDARD PICKUP TRUCKS 2WD,RAM,1500 2WD,A-8,3.6L,6cyl,22,20,25,"$2,150",5,"['MHEV', 'SS']"
477,STANDARD PICKUP TRUCKS 2WD,RAM,1500 2WD,A-8,5.7L,8cyl,20,18,23,"$2,800",4,"['Mid', 'CD', 'MHEV', 'SS']"
478,STANDARD PICKUP TRUCKS 2WD,RAM,1500 Classic 2WD,A-8,3.6L,6cyl,20,17,25,"$2,400",4,[]
479,STANDARD PICKUP TRUCKS 2WD,RAM,1500 Classic 2WD,A-8,5.7L,8cyl,17,15,21,"$3,300",3,"['Mid', 'CD']"
480,STANDARD PICKUP TRUCKS 2WD,RAM,1500 HFE 2WD,A-8,3.6L,6cyl,23,20,26,"$2,050",5,"['MHEV', 'SS']"
481,STANDARD PICKUP TRUCKS 2WD,TOYOTA,Tundra 2WD,A-S10,3.4L,6cyl,22,20,24,"$2,150",5,"['T', 'HEV', 'SS']"
482,STANDARD PICKUP TRUCKS 2WD,TOYOTA,Tundra 2WD,A-S10,3.4L,6cyl,22,20,24,"$2,800",5,"['PR', 'T', 'HEV', 'SS']"
483,STANDARD PICKUP TRUCKS 2WD,TOYOTA,Tundra 2WD,A-S10,3.4L,6cyl,20,18,23,"$2,400",4,"['T', 'SS']"
484,STANDARD PICKUP TRUCKS 2WD,TOYOTA,Tundra 2WD,A-S10,3.4L,6cyl,20,18,23,"$2,400",4,"['T', '3-Mode', 'SS']"
485,STANDARD PICKUP TRUCKS 2WD,TOYOTA,Tundra 2WD,A-S10,3.4L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']"
486,STANDARD PICKUP TRUCKS 2WD,TOYOTA,Tundra 2WD,A-S10,3.4L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', '3-Mode', 'SS']"
487,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado 4WD,A-8,2.7L,4cyl,19,18,21,"$2,500",4,"['T', 'CD', 'SS']"
488,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado 4WD,A-8,2.7L,4cyl,18,17,19,"$2,650",4,"['T', 'CD', 'S-Mode', 'SS']"
489,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado 4WD,A-10,3.0L,6cyl,24,23,27,"$2,250",4,"['D', 'T', 'SS']"
490,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado 4WD,A-10,3.0L,6cyl,23,21,24,"$2,350",4,"['D', 'T', 'S-Mode', 'SS']"
491,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado 4WD,A-10,5.3L,8cyl,17,15,20,"$2,800",3,"['CD', 'SS']"
492,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado 4WD,A-10,5.3L,8cyl,16,15,19,"$2,950",3,['CD']
493,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado 4WD,A-10,5.3L,8cyl,17,15,19,"$2,800",3,"['CD', 'S-Mode', 'SS']"
494,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado 4WD,A-10,5.3L,8cyl,17,15,19,"$2,800",3,"['Gas', 'CD']"
495,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado 4WD,A-10,6.2L,8cyl,17,15,20,"$3,600",3,"['P', 'CD', 'SS']"
496,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado 4WD ZR2,A-10,3.0L,6cyl,21,20,22,"$2,600",4,"['D', 'T', 'SS']"
497,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado 4WD ZR2,A-10,6.2L,8cyl,15,14,17,"$4,100",2,"['P', 'CD', 'SS']"
498,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado Mud Terrain Tires 4WD,A-8,2.7L,4cyl,17,16,17,"$2,800",3,"['T', 'CD', 'S-Mode', 'SS']"
499,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado Mud Terrain Tires 4WD,A-8,2.7L,4cyl,16,16,17,"$2,950",3,"['T', 'CD', 'SS']"
500,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado Mud Terrain Tires 4WD,A-10,3.0L,6cyl,22,21,23,"$2,500",4,"['D', 'T', 'SS']"
501,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado Mud Terrain Tires 4WD,A-10,3.0L,6cyl,22,21,23,"$2,500",4,"['D', 'T', 'S-Mode', 'SS']"
502,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado Mud Terrain Tires 4WD,A-10,5.3L,8cyl,16,15,19,"$2,950",3,['CD']
503,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado Mud Terrain Tires 4WD,A-10,5.3L,8cyl,17,15,19,"$2,800",3,"['Gas', 'CD']"
504,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado Mud Terrain Tires 4WD,A-10,5.3L,8cyl,16,15,18,"$2,950",3,"['CD', 'S-Mode', 'SS']"
505,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado Mud Terrain Tires 4WD,A-10,5.3L,8cyl,16,15,18,"$2,950",3,"['CD', 'SS']"
506,STANDARD PICKUP TRUCKS 4WD,CHEVROLET,Silverado Mud Terrain Tires 4WD,A-10,6.2L,8cyl,15,14,17,"$4,100",2,"['P', 'CD', 'SS']"
507,STANDARD PICKUP TRUCKS 4WD,FORD,F150 Pickup 4WD,A-S10,2.7L,6cyl,20,18,23,"$2,400",4,"['T', 'PT4', 'SS']"
508,STANDARD PICKUP TRUCKS 4WD,FORD,F150 Pickup 4WD,A-S10,3.5L,6cyl,19,16,24,"$2,500",4,"['T', 'PT4', 'SS']"
509,STANDARD PICKUP TRUCKS 4WD,FORD,F150 Pickup 4WD,A-S10,5.0L,8cyl,19,16,24,"$2,500",4,"['PT4', 'CD', 'SS']"
510,STANDARD PICKUP TRUCKS 4WD,FORD,F150 Pickup 4WD HEV,A-S10,3.5L,6cyl,23,22,24,"$2,050",5,"['T', 'PT4', 'HEV', 'SS']"
511,STANDARD PICKUP TRUCKS 4WD,FORD,F150 Pickup Tremor 4WD,A-S10,3.5L,6cyl,18,16,21,"$2,650",4,"['T', 'PT4', 'SS']"
512,STANDARD PICKUP TRUCKS 4WD,FORD,F150 Pickup Tremor 4WD,A-S10,5.0L,8cyl,17,15,20,"$2,800",3,"['PT4', 'CD', 'SS']"
513,STANDARD PICKUP TRUCKS 4WD,FORD,F150 RAPTOR 4WD,A-S10,3.5L,6cyl,16,14,18,"$2,950",3,"['T', 'PT4', 'SS']"
514,STANDARD PICKUP TRUCKS 4WD,FORD,F150 RAPTOR R 4WD,A-S10,5.2L,8cyl,12,10,15,"$3,950",1,"['S', 'PT4']"
515,STANDARD PICKUP TRUCKS 4WD,FORD,Ranger 4WD,A-S10,2.3L,4cyl,22,20,24,"$2,150",5,"['T', 'PT4', 'SS']"
516,STANDARD PICKUP TRUCKS 4WD,FORD,Ranger 4WD,A-S10,2.7L,6cyl,20,19,23,"$2,400",4,"['T', 'PT4', 'SS']"
517,STANDARD PICKUP TRUCKS 4WD,FORD,Ranger RAPTOR 4WD,A-S10,3.0L,6cyl,17,16,18,"$2,800",3,"['T', 'PT4', 'SS']"
518,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra 4WD,A-8,2.7L,4cyl,18,17,20,"$2,650",4,"['T', 'CD', 'SS']"
519,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra 4WD,A-8,2.7L,4cyl,17,17,18,"$2,800",3,"['T', 'CD', 'S-Mode', 'SS']"
520,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra 4WD,A-10,3.0L,6cyl,24,23,27,"$2,250",4,"['D', 'T', 'SS']"
521,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra 4WD,A-10,5.3L,8cyl,17,15,20,"$2,800",3,"['CD', 'SS']"
522,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra 4WD,A-10,5.3L,8cyl,16,15,19,"$2,950",3,['CD']
523,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra 4WD,A-10,5.3L,8cyl,17,15,19,"$2,800",3,"['CD', 'S-Mode', 'SS']"
524,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra 4WD,A-10,5.3L,8cyl,17,15,19,"$2,800",3,"['Gas', 'CD']"
525,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra 4WD,A-10,6.2L,8cyl,16,15,19,"$3,800",3,"['P', 'CD', 'SS']"
526,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra 4WD AT4X,A-10,3.0L,6cyl,19,19,20,"$2,850",3,"['D', 'T', 'SS']"
527,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra 4WD AT4X,A-10,6.2L,8cyl,15,14,16,"$4,100",2,"['P', 'CD', 'SS']"
528,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra Mud Terrain Tires 4WD,A-8,2.7L,4cyl,16,16,17,"$2,950",3,"['T', 'CD', 'SS']"
529,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra Mud Terrain Tires 4WD,A-10,3.0L,6cyl,22,21,23,"$2,500",4,"['D', 'T', 'SS']"
530,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra Mud Terrain Tires 4WD,A-10,5.3L,8cyl,16,15,19,"$2,950",3,['CD']
531,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra Mud Terrain Tires 4WD,A-10,5.3L,8cyl,17,15,19,"$2,800",3,"['Gas', 'CD']"
532,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra Mud Terrain Tires 4WD,A-10,5.3L,8cyl,16,15,18,"$2,950",3,"['CD', 'S-Mode', 'SS']"
533,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra Mud Terrain Tires 4WD,A-10,5.3L,8cyl,16,15,18,"$2,950",3,"['CD', 'SS']"
534,STANDARD PICKUP TRUCKS 4WD,GMC,Sierra Mud Terrain Tires 4WD,A-10,6.2L,8cyl,15,14,17,"$4,100",2,"['P', 'CD', 'SS']"
535,STANDARD PICKUP TRUCKS 4WD,HONDA,Ridgeline AWD,A-S9,3.5L,6cyl,21,18,24,"$2,250",4,"['CD', 'SS']"
536,STANDARD PICKUP TRUCKS 4WD,HONDA,Ridgeline AWD TrailSport,A-S9,3.5L,6cyl,20,18,23,"$2,400",4,"['CD', 'SS']"
537,STANDARD PICKUP TRUCKS 4WD,JEEP,Gladiator 4WD,A-8,3.6L,6cyl,19,17,22,"$2,500",4,['SS']
538,STANDARD PICKUP TRUCKS 4WD,JEEP,Gladiator 4WD,M-6,3.6L,6cyl,18,16,21,"$2,650",4,['SS']
539,STANDARD PICKUP TRUCKS 4WD,NISSAN,Frontier 4WD,A-S9,3.8L,6cyl,20,18,23,"$2,400",4,"['PT4', 'SS']"
540,STANDARD PICKUP TRUCKS 4WD,NISSAN,Frontier 4WD PRO4X,A-S9,3.8L,6cyl,19,18,22,"$2,500",4,"['PT4', 'SS']"
541,STANDARD PICKUP TRUCKS 4WD,NISSAN,Titan 4WD,A-S9,5.6L,8cyl,17,15,21,"$3,600",3,"['P', 'PT4']"
542,STANDARD PICKUP TRUCKS 4WD,NISSAN,Titan 4WD PRO4X,A-S9,5.6L,8cyl,16,14,20,"$3,800",3,"['P', 'PT4']"
543,STANDARD PICKUP TRUCKS 4WD,RAM,1500 4WD,A-8,3.6L,6cyl,21,19,24,"$2,250",4,"['MHEV', 'SS']"
544,STANDARD PICKUP TRUCKS 4WD,RAM,1500 4WD,A-8,5.7L,8cyl,19,18,22,"$2,950",4,"['Mid', 'CD', 'MHEV', 'SS']"
545,STANDARD PICKUP TRUCKS 4WD,RAM,1500 Classic 4WD,A-8,3.6L,6cyl,19,16,23,"$2,500",4,[]
546,STANDARD PICKUP TRUCKS 4WD,RAM,1500 Classic 4WD,A-8,5.7L,8cyl,17,15,20,"$3,300",3,"['Mid', 'CD']"
547,STANDARD PICKUP TRUCKS 4WD,RAM,1500 TRX 4WD,A-8,6.2L,8cyl,12,10,14,"$5,100",1,"['P', 'S']"
548,STANDARD PICKUP TRUCKS 4WD,TOYOTA,Tacoma Hybrid 4WD,A-S8,2.4L,4cyl,24,23,24,"$2,000",5,"['T', 'HEV', 'SS']"
549,STANDARD PICKUP TRUCKS 4WD,TOYOTA,Tacoma Hybrid 4WD,A-S8,2.4L,4cyl,23,22,24,"$2,050",5,"['T', 'PT4', 'HEV', 'SS']"
550,STANDARD PICKUP TRUCKS 4WD,TOYOTA,Tundra 4WD,A-S10,3.4L,6cyl,19,17,23,"$2,500",4,"['T', 'PT4', 'SS']"
551,STANDARD PICKUP TRUCKS 4WD,TOYOTA,Tundra 4WD,A-S10,3.4L,6cyl,19,17,23,"$3,200",4,"['PR', 'T', 'PT4', 'SS']"
552,STANDARD PICKUP TRUCKS 4WD,TOYOTA,Tundra 4WD,A-S10,3.4L,6cyl,19,17,22,"$2,500",4,"['T', 'PT4', '3-Mode', 'SS']"
553,STANDARD PICKUP TRUCKS 4WD,TOYOTA,Tundra 4WD,A-S10,3.4L,6cyl,20,19,22,"$2,400",4,"['T', 'PT4', 'HEV', 'SS']"
554,STANDARD PICKUP TRUCKS 4WD,TOYOTA,Tundra 4WD,A-S10,3.4L,6cyl,20,19,22,"$3,050",4,"['PR', 'T', 'PT4', 'HEV', 'SS']"
555,STANDARD PICKUP TRUCKS 4WD,TOYOTA,Tundra 4WD PRO,A-S10,3.4L,6cyl,19,18,20,"$2,500",4,"['T', 'PT4', 'HEV', 'SS']"
556,STANDARD PICKUP TRUCKS 4WD,TOYOTA,Tundra 4WD PRO,A-S10,3.4L,6cyl,19,18,20,"$3,200",4,"['PR', 'T', 'PT4', 'HEV', 'SS']"
557,SPECIAL PURPOSE VEHICLES 2WD,CADILLAC,XT5 Hearse FWD,A-S9,2.0L,4cyl,21,20,23,"$2,900",4,"['PR', 'T', 'CD', 'SS']"
558,SPECIAL PURPOSE VEHICLES 2WD,CADILLAC,XT5 Limo FWD,A-S9,2.0L,4cyl,21,20,23,"$2,900",4,"['PR', 'T', 'CD', 'SS']"
559,SPECIAL PURPOSE VEHICLES 2WD,CHEVROLET,Silverado Cab Chassis 2WD,A-10,5.3L,8cyl,16,15,18,"$2,950",3,"['CD', 'SS']"
